name,제조사,filered car name
현대 싼타페 TM,현대,싼타페
기아 4세대 쏘렌토 MQ4,기아,쏘렌토
아반떼ad,현대,아반떼
올뉴쏘렌토,기아,쏘렌토
르노삼성 더뉴 QM6 HZG,르노삼성,QM6
기아 K7,기아,K7
현대 더뉴 아반떼 AD,현대,아반떼
기아 쏘렌토,기아,쏘렌토
현대 HEV 그랜저 IG,현대,그랜저
현대 F/L 싼타페 TM,현대,싼타페
현대 아반떼,현대,아반떼
기아 더볼드 스포티지 QL,기아,스포티지
쌍용 더 뷰리풀 코란도 WD,쌍용,코란도
기아 K3,기아,K3
기아 더뉴 레이 TAM,기아,레이
기아 4세대 HEV 쏘렌토 MQ4,기아,쏘렌토
투싼,현대,투싼
현대 더뉴 N 투싼 TL,현대,투싼
더뉴카니발,기아,카니발
스파크,쉐보레/한국GM,스파크
제네시스 G80 DH,제네시스,G80
기아 더뉴 K5 JF,기아,K5
기아 레이,기아,레이
기아 스포티지,기아,스포티지
봉고3,기아,봉고버스
니로 하이브리드,기아,니로
현대 뉴라이즈 쏘나타 LF,현대,쏘나타
YF소나타,현대,쏘나타
기아 더 뉴 니로 DE,기아,니로
올뉴모닝,기아,모닝
현대 넥쏘 FE,현대,넥쏘
현대 4세대(출시예정) 투싼 NX4,현대,투싼
제네시스 F/L G90 HI,제네시스,G90
i30,현대,i30
아반떼HD,현대,아반떼
제네시스G90,제네시스,G90
그랜져,현대,그랜저
쏘나타,현대,쏘나타
벤츠 GLC-클래스,벤츠,GLC-클래스
쉐보레/한국GM 더뉴 트랙스 U200,쉐보레/한국GM,트랙스
벨로스터,현대,벨로스터
현대 쏘나타 LF,현대,쏘나타
기아 트럭 3 1열 봉고 PU,기아,봉고버스
NewSM3,르노삼성,SM3
프리우스,토요타,프리우스
현대 슈퍼캡 2 일렉트릭 1열 포터 HR,현대,포터2
쉐보레/한국GM 2세대 트래버스,쉐보레/한국GM,트래버스
K7하이브리드,기아,K7
쌍용 렉스턴,쌍용,렉스턴
SOUL,기아,쏘울
520d,BMW,5 시리즈
SM6탈리스만,르노삼성,SM6
뉴스포티지 R,기아,스포티지
기아 K5 TF,기아,K5
SM3,르노삼성,SM3
카니발리무진,기아,카니발
클리오,르노,클리오
르노삼성 SM7,르노삼성,SM7
아발론,토요타,아발론
현대 HEV 그랜저 HG,현대,그랜저
